id,category,difficulty,text_en,text_pt,question_en,question_pt,option_a_en,option_a_pt,option_b_en,option_b_pt,option_c_en,option_c_pt,option_d_en,option_d_pt,option_e_en,option_e_pt,correct_answer,explanation_en,explanation_pt
45,Cultural Text - Literature,Easy,Sample English text for question 45 about Cultural Text - Literature. This text provides context for understanding the question.,Texto em português de exemplo para questão 45 sobre Cultural Text - Literature. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Cultural Text - Literature?,Qual é a ideia principal deste texto sobre Cultural Text - Literature?,First option for question 45,Primeira opção para questão 45,Second option for question 45,Segunda opção para questão 45,Correct answer for question 45,Resposta correta para questão 45,Fourth option for question 45,Quarta opção para questão 45,Fifth option for question 45,Quinta opção para questão 45,C,Explanation for question 45 in English.,Explicação para questão 45 em português.
46,Grammar - Passive Voice,Medium,Sample English text for question 46 about Grammar - Passive Voice. This text provides context for understanding the question.,Texto em português de exemplo para questão 46 sobre Grammar - Passive Voice. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Grammar - Passive Voice?,Qual é a ideia principal deste texto sobre Grammar - Passive Voice?,First option for question 46,Primeira opção para questão 46,Second option for question 46,Segunda opção para questão 46,Correct answer for question 46,Resposta correta para questão 46,Fourth option for question 46,Quarta opção para questão 46,Fifth option for question 46,Quinta opção para questão 46,C,Explanation for question 46 in English.,Explicação para questão 46 em português.
47,Text Interpretation - Comic Strip,Hard,Sample English text for question 47 about Text Interpretation - Comic Strip. This text provides context for understanding the question.,Texto em português de exemplo para questão 47 sobre Text Interpretation - Comic Strip. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Text Interpretation - Comic Strip?,Qual é a ideia principal deste texto sobre Text Interpretation - Comic Strip?,First option for question 47,Primeira opção para questão 47,Second option for question 47,Segunda opção para questão 47,Correct answer for question 47,Resposta correta para questão 47,Fourth option for question 47,Quarta opção para questão 47,Fifth option for question 47,Quinta opção para questão 47,C,Explanation for question 47 in English.,Explicação para questão 47 em português.
48,Reading Comprehension - Science,Easy,Sample English text for question 48 about Reading Comprehension - Science. This text provides context for understanding the question.,Texto em português de exemplo para questão 48 sobre Reading Comprehension - Science. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Reading Comprehension - Science?,Qual é a ideia principal deste texto sobre Reading Comprehension - Science?,First option for question 48,Primeira opção para questão 48,Second option for question 48,Segunda opção para questão 48,Correct answer for question 48,Resposta correta para questão 48,Fourth option for question 48,Quarta opção para questão 48,Fifth option for question 48,Quinta opção para questão 48,C,Explanation for question 48 in English.,Explicação para questão 48 em português.
49,Vocabulary - Phrasal Verbs,Medium,Sample English text for question 49 about Vocabulary - Phrasal Verbs. This text provides context for understanding the question.,Texto em português de exemplo para questão 49 sobre Vocabulary - Phrasal Verbs. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Vocabulary - Phrasal Verbs?,Qual é a ideia principal deste texto sobre Vocabulary - Phrasal Verbs?,First option for question 49,Primeira opção para questão 49,Second option for question 49,Segunda opção para questão 49,Correct answer for question 49,Resposta correta para questão 49,Fourth option for question 49,Quarta opção para questão 49,Fifth option for question 49,Quinta opção para questão 49,C,Explanation for question 49 in English.,Explicação para questão 49 em português.
50,Cultural Understanding - History,Hard,Sample English text for question 50 about Cultural Understanding - History. This text provides context for understanding the question.,Texto em português de exemplo para questão 50 sobre Cultural Understanding - History. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Cultural Understanding - History?,Qual é a ideia principal deste texto sobre Cultural Understanding - History?,First option for question 50,Primeira opção para questão 50,Second option for question 50,Segunda opção para questão 50,Correct answer for question 50,Resposta correta para questão 50,Fourth option for question 50,Quarta opção para questão 50,Fifth option for question 50,Quinta opção para questão 50,C,Explanation for question 50 in English.,Explicação para questão 50 em português.
51,Grammar - Reported Speech,Easy,Sample English text for question 51 about Grammar - Reported Speech. This text provides context for understanding the question.,Texto em português de exemplo para questão 51 sobre Grammar - Reported Speech. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Grammar - Reported Speech?,Qual é a ideia principal deste texto sobre Grammar - Reported Speech?,First option for question 51,Primeira opção para questão 51,Second option for question 51,Segunda opção para questão 51,Correct answer for question 51,Resposta correta para questão 51,Fourth option for question 51,Quarta opção para questão 51,Fifth option for question 51,Quinta opção para questão 51,C,Explanation for question 51 in English.,Explicação para questão 51 em português.
52,Text Interpretation - Email,Medium,Sample English text for question 52 about Text Interpretation - Email. This text provides context for understanding the question.,Texto em português de exemplo para questão 52 sobre Text Interpretation - Email. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Text Interpretation - Email?,Qual é a ideia principal deste texto sobre Text Interpretation - Email?,First option for question 52,Primeira opção para questão 52,Second option for question 52,Segunda opção para questão 52,Correct answer for question 52,Resposta correta para questão 52,Fourth option for question 52,Quarta opção para questão 52,Fifth option for question 52,Quinta opção para questão 52,C,Explanation for question 52 in English.,Explicação para questão 52 em português.
53,Reading Comprehension - Travel,Hard,Sample English text for question 53 about Reading Comprehension - Travel. This text provides context for understanding the question.,Texto em português de exemplo para questão 53 sobre Reading Comprehension - Travel. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Reading Comprehension - Travel?,Qual é a ideia principal deste texto sobre Reading Comprehension - Travel?,First option for question 53,Primeira opção para questão 53,Second option for question 53,Segunda opção para questão 53,Correct answer for question 53,Resposta correta para questão 53,Fourth option for question 53,Quarta opção para questão 53,Fifth option for question 53,Quinta opção para questão 53,C,Explanation for question 53 in English.,Explicação para questão 53 em português.
54,Vocabulary - False Cognates,Easy,Sample English text for question 54 about Vocabulary - False Cognates. This text provides context for understanding the question.,Texto em português de exemplo para questão 54 sobre Vocabulary - False Cognates. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Vocabulary - False Cognates?,Qual é a ideia principal deste texto sobre Vocabulary - False Cognates?,First option for question 54,Primeira opção para questão 54,Second option for question 54,Segunda opção para questão 54,Correct answer for question 54,Resposta correta para questão 54,Fourth option for question 54,Quarta opção para questão 54,Fifth option for question 54,Quinta opção para questão 54,C,Explanation for question 54 in English.,Explicação para questão 54 em português.
